mu,probability
0,0.0
0.05,3.379179728226995e-14
0.1,5.61055999332022e-12
0.15,9.099276661483216e-11
0.2,5.594821611839228e-10
0.25,1.9896120946091973e-09
0.3,6.335726579559456e-09
0.35,2.3571826694790847e-08
0.4,1.614575740850822e-07
0.45,8.679038136963374e-07
0.5,3.84452880552999e-06
0.55,1.7795971495405862e-05
0.6,7.251421174811717e-05
0.65,0.00026645278901148666
0.7,0.0009012893001209714
0.75,0.002860833138129507
0.8,0.0086976548286074
0.85,0.02600436989047483
0.9,0.07953433727790826
0.95,0.2633989988373039
1,1.0
